Identifier,Submission Date,Water point Name,Woreda,Kebele,Parish,Village,Latitude,Longitude,DWD number of water point,Year of water point construction,Who funded the construction of this water point,Estimate the number of households who use this water point as their source of water,What is the main purpose for which people use water from this water point?,What is the main purpose for which people use water from this water point?--OTHER--,Is water used by vendors/collected to sell other places?,Are their livestock drinking facilities at the water point?,Type of water source,Public Tapstand - Name of Water Scheme Connected,Public Tapstand With Water Meter,Water Meter Functioning,Rain Water Harvesting Tank - Volume (L),Number of Taps/Spouts,Protected Spring Type,How many spouts does it have?,Borehole/Well Depth (m),Borehole/Well Diameter (In),Type of lifting device?,Handpump Type,What is the pipe material?,Is the water point currently functional?,Please rate the level of functionality,Specify the nature of the technical breakdowns,Duration of the current non-functionality (how long has it been out of service),How many days in total was the water facility out of service during the past one year?,How many hours per day is it possible to collect water from this source?,How many minutes does it take to fill a 20 Litre Jerry can?,Physical state of the Apron,Physical state of the pedestal,Physical state of Tap/ Spouts,Status of how the tap/ spout is currently being used,Physical state of drainage channel and soakpit,Physical state of the Pumphead,Physical state of the handle,Physical state of the retention wall,Physical state of the superstructure (building and door),Physical state of the plumbing works in the kiosk,How many rainwater harvesting tanks are present?,What is the total storage capacity of the tanks?,How many rainwater harvesting tanks are in USE?,What is the total storage volume of tanks IN USE?,What is the physical state of the gutters,What is the status of the filtration system?,What is the physical state of the filtration system,What is the Physical state of the MAIN tank,Please explain any other observable technical problems that require repairs,Are there any components of the well/ borehole that require total replacement?,Are there any components of the well/ borehole that require total replacement?--OTHER--,Are there any components of the protected spring that require total replacement?,Are there any components of the protected spring that require total replacement?--OTHER--,Are there any components of the public tapstand that require total replacement?,Are there any components of the public tapstand that require total replacement?--OTHER--,Are there any components of the kiosk that require total replacement?,Are there any components of the kiosk that require total replacement?--OTHER--,Are there any components of the rainwater harvesting system that require total replacement?,Are there any components of the rainwater harvesting system that require total replacement?--OTHER--,Are there any potential sources of contamination within 10 meters of the water point?,Is the catchment protected and are there any potential sources if contamination nearby?,Are there any potential sources of contamination to the rainwater system?,Is there concern about potential contamination of the water quality?,Is there concern about potential contamination of the water quality?--OTHER--,Are there any concerns about the COLOUR of the water?,Are there any concerns about the ODOUR/SMELL of the water?,Are there any concerns about the TASTE of the water?,Please any other concern about water quality,Who is responsible for daly operation of the water point?,Who is responsible for daly operation of the water point?--OTHER--,Is the care paid or unpaid?,Is there a WUC/ WSC for this water point?,Who is responsible for the overall management of this water point?,Is the WUC/ WSC currently active?,"In the last year, has the WUC/ WSC/ Management body organised any maintenance activities or repairs?","In the last year,has the WUC/WSC received any support or guidance from the sub-county or district government?",Number of members of the WUC/ WSC,Number of Active members on the WUC/WSC,Number of women on the WUC/WSC,"Number of women in key positions on the WUC/WSC (chair, secretary of finance)",Is the WUC/WSC a member of the Sub County Water Supply and Sanitation Board?,Does the WUC/WSC/operator keep records of the water meter readings or amount of water collected?,Does the WUC/WSC/operator keep financial records on income collected?,Does the WUC/WSC keep financial records on expenditure and/or a record of repairs?,Does the WUC/WSC have a bank account?,When were the last water quality tests done?,Does the operator keep financial records on expenditure and/or a record of repairs?,Has the WUC/WSC received any support or training from the Sub county or the district in the past year?,Do users pay for water?,How much is typically collected from each user when there is a breakdown or repair?,Type of tariff system,Type of tariff system--OTHER--,What is the monthly tariff?,What is the annual tariff?,What is the tariff per 20L jerry can?,% of Community Paying Tariffs,Are there any families or people in the village exempted from payment due to inability to pay?
hvwn-wswk-f7bu,29-03-2021 11:19:47 UTC,Otto Robert BH,Agago,Agago TC,Central,Lukole Central/Hqrs,2.83164376,33.3379835,21279,2005,Government,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,18,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,more than 3 minutes,Fair (moderate),Good,,,fare,Good,Fair (moderate),,,,,,,,,,,,staggering handle,Handle,soak pit,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,Good,Caretaker,,Paid,Yes,WUC/ WSC,No,,No,9,2,4,11,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,65,Yes
ndsu-r99x-uj74,29-03-2021 11:11:55 UTC,Tangi Apano,Agago,Patongo,Kal,Apano Central,2.67969021,33.3049266,,2004,NGO,,,,Never,No,Deep borehole,,,,,,,,42,2,Handpump,,GI,,,"rodes and cylinder, pipes need replacement",Unknown,About 1 week in total,,,Poor,Por,,,poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,poor apron,Pedestal,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,6,6,3,3,No,,,Yes,Yes,,,No,,,,,,,,,
9nax-9ukc-cvmu,29-03-2021 11:16:46 UTC,Wang Aryeta,Agago,Omiya Pacwa,Lakwa,Lakwa A,3.2350375,33.4208313,,2017,Community,50-100,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,more than 8,1-3 minutes,,,Poor,At least one tap/ spout not in use-repair needed,poor drainage,,,Poor,,,,,,,,,,,Needs more logs to protect,,,Landing and steps,,,,,,,,,Animal at the catchment,,Contamination from pesticides or herbicides (agriculture),,Sometimes,Sometimes,Sometimes,More logs needed to protect it from animals,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,Never,,,No,,,,,,,,
60uu-nqhg-t7jd,29-03-2021 11:25:32 UTC,Barajwa,Agago,Adilang,Nam,Bar Ajwa,2.609534,33.4652367,,2010,NGO,50-100,Washing cars/ motorcycles,,Never,Yes,Deep borehole,,,,,,,,24,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Very poor,Fair (moderate),,,very poor,Very poor,Very poor,,,,,,,,,,,,"Handle, apron ,soackpit",Pedestal,,,,,,,,,,Animal excreta nearby,,,No concern- water is clean,,Never,Sometimes,Sometimes,water smell bad when it take long in the pot,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,Never,,,Users contribute fees only when repair is needed,2000,,,,,,,
n5qe-h0rb-fc35,29-03-2021 11:34:27 UTC,okee borehole lala pee,Agago,Parabongo,Parumu,Oker,3.04768338,33.4094869,,2009,NGO,more than 100,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,very poor,Good,Good,,,,,,,,,,,,drainage,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,clean safe water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,1,1,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,1000,,,80,No
2ye1-h6rr-hgej,29-03-2021 11:40:27 UTC,Orama Central Borehole,Agago,Patongo,Kal,Orama Central,2.70621333,33.3053233,,2014,NGO,50-100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,0,0,Handpump,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Fair (moderate),Fair (moderate),,,poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,"pipes needs to be changed, rod and cylinder should be changed",,"rod, cylinder, pipes",,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Sometimes,Sometimes,"rod, cylinder, bearing and pipes should be availed",Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,4,1,No,,,Yes,No,Unknown,,No,Users contribute fees only when repair is needed,2000,,,,,,,
mu7q-t602-ux9b,29-03-2021 11:49:48 UTC,Abulu Kwang,Agago,Wol TC,Kico Ward,Lula,3.1322668,33.2371013,36911,2o12,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,36,0,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Poor,Por,,,fair,Poor,Very poor,,,,,,,,,,,,"Lose Handle, Rubber",,pipes,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from soil or metals,,Sometimes,Never,Rarely,poor hygiene.,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,3,1,No,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,2000,,,60,Yes
2f31-62xe-7f17,29-03-2021 11:46:46 UTC,Wee wii BH,Agago,Agago TC,Central,Wee wii,2.83214099,33.3378738,,2005,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,Stainless Steel,Non-functional,,"pipes,cylinder, rod, head pump and handle",more than one year,Unknown,,,Poor,Good,,,noy seen,Poor,Poor,,,,,,,,,,,,general systems,,General systems,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,9,4,1,No,,,Yes,Yes,,,No,,,,,,,,,
nu0p-7sg2-jwx7,29-03-2021 11:49:14 UTC,kele Central borehole,Agago,Parabongo,Parumu,Kale Central,3.04722792,33.3951957,,2001,Government,,Drinking water,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Non-functional,,broken system,more than one year,More than 3 weeks total,,,Very poor,Very poor,,,very poor,Very poor,Very poor,,,,,,,,,,,,poor drainage,Pedestal,,,,,,,,,,Animal excreta nearby,,,,,,,,,Caretaker,,Unpaid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
y2rc-aw3q-w27u,29-03-2021 11:51:13 UTC,borehole orama primary school,Agago,Patongo,Kal,Orama Tebung,2.71393344,33.306815,47019,2017,Government,,,,Never,No,Deep borehole,,,,,,,,10,2,Handpump,,GI,,,rode and cylinder need total replacement,more than one year,It was never broken down,,,Good,Good,,,fair,Good,Good,,,,,,,,,,,,drainage sys6 needs improvement,NONE,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,Yes,9,6,3,2,Yes,,,Yes,No,,,Yes,,,,,,,,,
hdya-k3jr-5xnv,29-03-2021 11:58:56 UTC,Cam gweng,Agago,Omiya Pacwa,Laita,Longor Central,3.26364423,33.395465,,2020,Community,50-100,Water for other household and domestic use,,Never,No,Protected spring,,,,,One,ordinary,One,,,,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,1-3 minutes,,,Fair (moderate),Active all are in use,No drainage channel,,,Fair (moderate),,,,,,,,,,,steps needs to be constructed,,,Catchment protection or fence,,,,,,,,,Children playing,,Contamination from pesticides or herbicides (agriculture),,Sometimes,Sometimes,Rarely,Steps needs to be constructed,Caretaker,,Unpaid,No,Private operator,,Yes,,,,,,,,,,,Never,No,,No,,,,,,,,
gxfh-nmec-86gy,29-03-2021 11:57:15 UTC,Alop,Agago,Adilang,Nam,Alop,2.66792483,33.4492322,25985,2007,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,42,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Good,Good,,,good,Good,Good,,,,,,,,,,,,no,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no concerned,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,9,5,2,No,Yes,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,2000,,,85,Yes
85p0-nsa1-36rj,29-03-2021 12:10:21 UTC,Lukole HQ BH,Agago,Agago TC,Central,Lukole Central/Hqrs,2.83313653,33.3372245,21325,2006,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Non-functional,,Total break down,more than one year,,,,Good,Excellent,,,Drainage channel good but no soak pit,Good,Very poor,,,,,,,,,,,,Bore hole parts stolen,Spout,"pipes, rode and cylinder head",,,,,,,,,NONE-No contamination risk observed,,,,,,,,,,None,,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
72aa-pb5m-uwt0,29-03-2021 12:08:08 UTC,Orama Tebung Borehole,Agago,Patongo,Kal,Orama Tebung,2.72629333,33.3019033,6379,1992,NGO,more than 100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,30,0,Handpump,,I don't know,Functional in use,Partially functioning works with some issues/ difficulties,,,More than 3 weeks total,8-16 hours,more than 3 minutes,Very poor,Fair (moderate),,,very very poor,Poor,Fair (moderate),,,,,,,,,,,,"pipes has cracked, rod and cylinder are wornout",NONE,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Always - problems with colour,Sometimes,Sometimes,"Rod, pipes cylinder are needed",Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,9,4,2,Unknown,No,Yes,Yes,No,Never,,Yes,Yes,,Fixed tariff per month,,1000,,,100,No
20r2-4t4k-43j7,29-03-2021 12:13:43 UTC,Abulu Kwang South B/H,Agago,Wol TC,Kico Ward,Got Col,3.12797493,33.2418198,,2014,NGO,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,0,0,Handpump,,Stainless Steel,Functional in use,Partially functioning works with some issues/ difficulties,,,It was never broken down,8-16 hours,1-3 minutes,Poor,Por,,,very poor,Good,Good,,,,,,,,,,,,None,Drainage channel,,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,poor hygiene in the borehole area.,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,6,6,3,1,No,No,Yes,Yes,No,Never,,Yes,Yes,,Fixed tariff per month,,2000,,,40,Yes
5fs7-wgn4-u30w,29-03-2021 12:22:13 UTC,Okudu,Agago,Adilang,Nam,Okudu Central,2.66760354,33.4677583,,2009,NGO,50-100,Washing cars/ motorcycles,,Never,No,Deep borehole,,,,,,,,45,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,More than 3 weeks total,8-16 hours,1-3 minutes,Fair (moderate),Very poor,,,very Good,Good,Good,,,,,,,,,,,,apron need repair,Apron,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Sometimes,Sometimes,The colour changes early in the morning,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,Yes,9,9,5,2,No,Yes,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,2000,,,80,Yes
0cmu-xhb7-g3rq,29-03-2021 12:23:38 UTC,Cam gweng,Agago,Omiya Pacwa,Laita,Longor Central,3.27247473,33.4047011,,2015,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,54,2,Handpump,,PVC,Non-functional,,pipes and rubber worn out,more than one year,,,,Very poor,Good,,,Blocked,Good,Excellent,,,,,,,,,,,,pipes and cylinder needs replacement,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,3,1,No,,,Yes,No,,,No,,,,,,,,,
h27h-kdng-3uqg,29-03-2021 12:27:44 UTC,Okweng p/s,Agago,Arum,Okweny,Okweny Central,2.71804555,33.1354801,25579,2008,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,PVC,Functional in use,Partially functioning works with some issues/ difficulties,,,,8-16 hours,1-3 minutes,Very poor,Good,,,poor,Good,Fair (moderate),,,,,,,,,,,,pipes cylinder and rubber has broken,Handle,pipes cylinder and rubber,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Sometimes,Never,Rarely,good quality water,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,8,2,0,Yes,No,Yes,No,No,Never,,No,Yes,,Fixed tariff per month,,1000,,,80,No
ps17-44ky-qcgf,29-03-2021 12:32:12 UTC,Lokole HQ Te Pwoyo BH,Agago,Agago TC,Central,Lukole Central/Hqrs,2.83429369,33.3384215,36027,2012,Government,more than 100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,36,2,Handpump,,Stainless Steel,Functional in use,Fully functioning at 100%,,,About 1 week in total,more than 8,1-3 minutes,Good,Good,,,Good,Good,Good,,,,,,,,,,,,no,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,no,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,5,5,2,No,No,Yes,Yes,No,1 to 5 years ago,,No,Yes,,Fixed tariff per month,,2000,,,90,Yes
afux-6tss-8xcw,29-03-2021 12:45:03 UTC,Wol camp B/h,Agago,Wol TC,Guda ward,Dago Pany,3.12191676,33.2300772,21375,2005,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,0,0,Handpump,,Stainless Steel,Non-functional,,"problem in the cylinder, holes in Pipes, worn out Rubber.",more than one year,Unknown,,,Poor,Por,,,fair,Poor,Poor,,,,,,,,,,,,part of the Headpump missing.,Pumphead,,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,No,,No,9,0,3,1,No,,,Yes,No,,,No,,,,,,,,,
gss9-1xf3-hay8,29-03-2021 12:38:41 UTC,kalongo technical institute rainwater harvesting tank,Agago,Parabongo,Parumu,Kale Central,3.03241564,33.4000859,,2017,Government,more than 100,Washing cars/ motorcycles,,Never,No,Rain water harvesting tank,,,,100000,,,,,,,,,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 16 hours,1-3 minutes,,,,,good,,,,,,20,100000,20,20,Excellent,Present and in use,Excellent,Excellent,water leaking,,,,,,,,,NONE,,,,NONE-no contamination risks observed,,"dust,darts and soil particulars",Never,Never,Rarely,rainwater for domestic purposes,Caretaker,,Unpaid,No,Unknown,,No,,,,,,,,,,,Never,,,No,,,,,,,,
15yj-rb52-ccns,29-03-2021 12:45:50 UTC,lukole hq Teeyaa BH,Agago,Agago TC,Central,Lukole Central/Hqrs,2.83483672,33.33942,,2001,NGO,,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,27,2,Handpump,,GI,Non-functional,,"Total break down. Bore hole parts, pipes,cylinder head, and rodes stolen",more than one year,,,,Very poor,Very poor,,,not in existence,Very poor,Very poor,,,,,,,,,,,,Total break down,Pedestal,"Pipes,soakpit, roses, cylinder head, head pump, hand pump, chain and Bearing",,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Paid,No,No management,,,,,,,,,,,,,,,,,,,,,,,,
4mrg-we4v-b6yw,29-03-2021 12:52:13 UTC,kalongo techinical insitute,Agago,Parabongo,Parumu,Kale Central,3.03316111,33.3986712,37693,1984,Government,50-100,Drinking water,,Never,No,Deep borehole,,,,,,,,33,2,Handpump,,I don't know,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 16 hours,1-3 minutes,Poor,Good,,,poor drainage channel repair and poor soak pit,Good,Good,,,,,,,,,,,,some of the nuts are missing,NONE,,,,,,,,,,Rubbish nearby,,,No concern- water is clean,,Never,Never,Rarely,good quality but sanitation needs to be improved,Caretaker,,Unpaid,No,Unknown,,No,,,,,,,,,,,Unknown,,,No,,,,,,,,
p6ap-yssr-tned,30-03-2021 10:34:48 UTC,Rwot omiyo,Agago,Lira Palwo TC,Lapilyet Ward,Lapii lyet West,2.77109369,33.1802432,33018,2010,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,33,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,fair,Good,Good,,,,,,,,,,,,no technical problem,NONE,,,,,,,,,,Animal excreta nearby,,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,the water is clear,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,8,6,1,No,No,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,1000,,,85,Yes
8nvj-q40t-5dqh,29-03-2021 13:05:47 UTC,Tangi Aloi,Agago,Patongo,Aloi,Aloi West,2.73142364,33.3260222,33034,2020,NGO,50-100,Water for other household and domestic use,,Never,Yes,Deep borehole,,,,,,,,15,2,Handpump,,Stainless Steel,,Fully functioning at 100%,,,It was never broken down,more than 8,1-3 minutes,Good,Good,,,very poor,Good,Good,,,,,,,,,,,,apron,Drainage channel,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,only pipes with problems,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,6,3,2,Yes,,,Yes,No,During construction of the water source,,Yes,Users contribute fees only when repair is needed,1000,,,,,,,
4dtt-e42e-es5m,29-03-2021 13:10:14 UTC,Okweny p/s tank,Agago,Arum,Okweny,Okweny Central,2.71774367,33.136505,,2009,NGO,,Water for other household and domestic use,,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,main tank gutters filtration system all need repairs and replacement,more than one year,,,,,,,,poor,,,,,,2,20000,0,0,Very poor,"Present not in use, not connected",Very Poor,Very Poor,all parts need repairs and replacement,,,,,,,,,Drainage channel,,,,NONE-no contamination risks observed,,,,,,,Caretaker,,Paid,Yes,WUC/ WSC,Yes,,No,9,5,3,0,Yes,,,Yes,No,,,No,,,,,,,,,
ckr3-tr9x-mwvp,29-03-2021 13:13:20 UTC,Dago pany,Agago,Wol TC,Guda ward,Dago Pany,3.12301912,33.229316,21367,2008,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,24,0,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,It was never broken down,8-16 hours,1-3 minutes,Poor,Por,,,very poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,Problem in the bearing.,Drainage channel,,,,,,,,,,Livelihood activity nearby (e.g. brickmaking),,,Contamination from animals or human feces (e.g. latrines or OD),,Never,Never,Rarely,None,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,5,5,2,1,No,No,Yes,Yes,No,Never,,No,Yes,,Fixed tariff per month,,2000,,,70,Yes
91bg-nkvj-d97p,29-03-2021 13:09:15 UTC,kalongo technical institute rainwater tank 2,Agago,Parabongo,Parumu,Kale Central,3.03324764,33.3979106,,2017,Government,50-100,Water for other household and domestic use,,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 16 hours,1-3 minutes,,,,,good,,,,,,4,40000,4,40000,Excellent,Present and in use,Excellent,Excellent,nothing,,,,,,,,,NONE,,,,NONE-no contamination risks observed,No concern- water is clean,,Never,Never,Rarely,nothing,Caretaker,,Unpaid,No,Unknown,,No,,,,,,,,,,,Never,,,No,,,,,,,,
eupy-v2vw-jen5,29-03-2021 13:15:42 UTC,Lukole hclll BH,Agago,Agago TC,Ngora,Ngora Central,2.83576058,33.3394465,21295,2009,NGO,less than 25,Institutional use (school or healthcare facility/ health centre),,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Functional in use,Fully functioning at 100%,,,About 1 week in total,8-16 hours,1-3 minutes,Good,Good,,,Good,Good,Good,,,,,,,,,,,,none,NONE,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,Good,Private operator,,,No,Private operator,,Yes,,,,,,,,,,,3 months to 1 year ago,Yes,,No,,,,,,,,
jqab-dmrq-cqun,29-03-2021 13:16:45 UTC,Tangi Aloi west,Agago,Patongo,Aloi,Aloi West,2.72662352,33.3272993,28736,2009,NGO,50-100,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,13,2,Handpump,,GI,,Fully functioning at 100%,,,Unknown,more than 8,1-3 minutes,Good,Good,,,poor,Fair (moderate),Good,,,,,,,,,,,,handle needs replacement and nuts,Pumphead,,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,drainage system needs to be constructed,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,Yes,9,6,3,3,Yes,,,Yes,No,During construction of the water source,,Yes,Users contribute fees only when repair is needed,1000,,,,,,,
squ6-jyqm-er12,29-03-2021 13:24:08 UTC,Lokole HCIII,Agago,Agago TC,Ngora,Ngora Central,2.83532115,33.3390967,,2003,NGO,,Institutional use (school or healthcare facility/ health centre),,Never,No,Rain water harvesting tank,,,,10000,,,,,,,,,Non-functional,,problem of the gutters,more than one year,More than 3 weeks total,,,,,,,N/A,,,,,,1,10000,1,10000,Good,No filtration system exists,,Good,problem with the gutters,,,,,,,,,Filtration system,,,,NONE-no contamination risks observed,,,,,,,Private operator,,,No,Private operator,,No,,,,,,,,,,,,No,,,,,,,,,,
8f56-4gt0-8w91,29-03-2021 13:30:55 UTC,ongam East motorised water tank,Agago,Parabongo,Parumu,Ongam East,3.03165824,33.3887967,,2017,Government,more than 100,Drinking water,,Never,No,Rain water harvesting tank,,,,1000,,,,,,,,,Functional in use,Fully functioning at 100%,,,It was never broken down,more than 16 hours,1-3 minutes,,,,,very poor,,,,,,1,10000,1,10000,Good,Present and in use,Good,Good,poor drainage,,,,,,,,,Drainage channel,,,,NONE-no contamination risks observed,No concern- water is clean,,Never,Never,Rarely,clean safe water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,1,1,No,,,No,No,Unknown,,No,No,,,,,,,,
s3sr-k34k-fd6r,29-03-2021 13:36:48 UTC,Ongam east public tapstand,Agago,Parabongo,Parumu,Ongam East,3.03150989,33.3886435,,2017,Government,more than 100,Drinking water,,Never,No,Public Tapstand,,No,,,,,,,,,,,Functional in use,Fully functioning at 100%,,,It was never broken down,8-16 hours,1-3 minutes,Poor,,Good,Active all are in use,good drainage but poor soak pit,,,,,,,,,,,,,,apron,,,,,,soakpit,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Never,Never,Rarely,soakpit needs to be constructed,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,3,3,1,1,No,No,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,1000,,,80,Yes
t07f-0ake-hfdb,29-03-2021 13:47:55 UTC,tangi wii kweyo,Agago,Arum,Okweny,Wii Kweyo,2.70408142,33.1494347,27589,2008,NGO,25-50,Water for other household and domestic use,,Never,No,Deep borehole,,,,,,,,45,2,Handpump,,GI,Functional in use,Partially functioning works with some issues/ difficulties,,,About 1 week in total,8-16 hours,more than 3 minutes,Very poor,Por,,,poor,Good,Good,,,,,,,,,,,,"pipes and rod,cylinder ,rubber and nuts",Drainage channel,pipes and rod plus cylinder rubber has broken down,,,,,,,,,NONE-No contamination risk observed,,,No concern- water is clean,,Sometimes,Never,Rarely,good quality water,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,5,2,1,Yes,No,Yes,Yes,No,Unknown,,No,Yes,,Fixed tariff per month,,2000,,,80,No
bhwg-ux9t-7c6b,29-03-2021 13:45:05 UTC,Ongam borehole,Agago,Parabongo,Parumu,Ongam,3.03405665,33.3867721,,2010,NGO,,Drinking water,,Never,No,Deep borehole,,,,,,,,21,2,Handpump,,GI,Non-functional,,"broken pipes, apron ,pedestals",more than one year,More than 3 weeks total,,,Poor,Por,,,very poor,Fair (moderate),Fair (moderate),,,,,,,,,,,,"pump head, pipes",Spout,,,,,,,,,,NONE-No contamination risk observed,,,,,,,,,Caretaker,,Unpaid,Yes,WUC/ WSC,Yes,,No,9,9,1,1,No,,,Yes,No,,,No,,,,,,,,,
